,field,field,num
0,neuro,neuro science,25944
28,etree,engineering,15044
3,chemistry,chemistry,13507
9,math,math,8678
1,physics,physics,8645
58,phtree,public health,8153
69,literature,literature,8090
40,educ,education,8051
51,sociology,sociology,6954
15,cellbio,cell biology,6839
43,computerscience,computer science,5608
23,econ,economics,5504
13,polisci,political science,4766
59,microbiology,microbiology,4381
21,theology,theology,4034
11,phil,philosophy,3537
12,anthropology,anthropology,3307
2,psych,psychology,3182
7,hist,history,2839
73,nursing,nursing,2756
68,environment,environment,2696
10,ling,linguistics,2649
5,evol,evolutionary biology,2525
39,epidemiology,epidemiology,1594
47,astronomy,astronomy,1493
18,meteorology,meteorology,1365
16,compbio,computational biology,1316
55,bme,,1219
20,mareco,,1163
4,fly,,728
76,business,,721
29,csd,,680
6,anatomy,,664
65,geography,,643
53,robotics,,634
19,biomech,,627
25,tereco,,593
49,geoscience,,572
27,plantbio,,561
26,idtree,,493
46,npath,,469
14,dev,,390
8,mich,,372
30,physiology,,364
79,architecture,,305
44,genetics,,297
42,alzh,,285
54,oceanography,,272
81,cityplanning,,254
31,sts,,242
70,orgcommunication,,222
50,music,,216
35,primate,,181
24,advert,,177
87,phycology,,166
57,crystallography,,154
52,law,,138
78,bioethics,,137
96,medphysradonc,,111
48,mycology,,105
64,bronchopulmonology,,102
41,plantsys,,100
34,astrobiology,,95
84,psyphys,,94
67,pedsurgeons,,93
66,musictherapy,,88
83,publicpolicy,,81
32,pombe,,76
77,marinemammalscience,,46
37,fluids,,46
93,uncw,,46
88,neurosurgery,,43
38,ssib,,43
60,cellgenetherapy,,42
61,neurooncology,,42
33,telo,,41
91,imaging,,39
22,behavior,,35
74,division20,,34
82,ntrauma,,33
17,animalscience,,29
72,stemcell,,29
99,chronobiology,,26
90,structuralbiology,,26
45,writingstudies,,25
62,hypnosis,,24
89,nonprofit,,23
63,appliedphys,,22
86,division45,,21
56,thee,,20
100,nutrition,,11
75,socialpsych,,9
97,angiogenesis,,7
71,publichealth,,6
95,vision,,4
101,womenshealth,,4
102,grouprelations,,3
103,surgicalcriticalcare,,3
80,hdfs,,2
104,materials,,2
85,plasticsurgery,,1
92,orientalstudies,,1
94,ecotox,,1
98,mis,,1
36,bone,,1
