,average tilted,name
0,-79.79625847515356,DAVID R MAYHEW
1,-74.09142025713832,DOUGLAS G STUART
2,-87.16662400039141,FRED  CHURCHILL
3,-88.99338240086982,JONATHAN C BROWN
4,-75.0,H JEFFERSON POWELL
5,-88.55189132322444,THOMAS  BENDER
6,-83.16520298484868,EMILIA VIOTTI DACOSTA
7,-75.0,EDWARD HALLETT CARR
8,-80.00000000000001,DANIEL  KEVLES
9,-85.68567524491094,ALEX  ROLAND
10,-75.0,RICHARD A PRESTON
11,-64.82445397513705,ANDREW CUNNINGHAM MCLAUGHLIN
12,-65.78864529269967,NOAH  PORTER
13,-81.87368809028932,EVARTS BOUTELL GREENE
14,-70.01276527436752,ARCADIUS  KAHAN
15,-84.35680496149675,LAWRENCE  GOODWYN
16,-79.2570240141933,GEORGE MACAULEY TREVELYAN
17,-75.0,PETER  GAY
18,-80.42365541220697,STERLING  STUCKEY
19,-87.44342186310288,JUNE  HOWARD
20,-75.0,JOHN  EDMANDS
21,-78.6993890070433,HOWARD  CHUDACOFF
22,-66.1384257863876,FRANK  TANNENBAUM
23,-73.8539782142418,ELIZABETH  ANSCOMBE
24,-86.61556675685044,MORTON  HORWITZ
25,-80.00000000000001,CHARLES W MCCURDY
26,-87.47910611330902,MICHAEL  STANISLAWSKI
27,-78.75102479784752,DREW  FAUST
28,-75.0,AVERY O CRAVEN
29,-80.89414338826197,RICHARD H SEWELL
30,-78.01312415629329,JENNIFER L ANDERSON
31,-70.01276527436752,CARL EMIL SCHORSKE
32,-76.08007999267117,HANS  MOMMSEN
33,-88.4760390493438,TREVOR  ASTON
34,-62.35885466206048,EDUARD  KOHLRAUSCH
35,-70.01276527436752,AMILIUS LUDWIG RICHTER
36,-73.65954298995472,CHARLES HOMER HASKINS
37,-64.18805929151802,MARTIN  WEIBULL
38,-70.01276527436752,HARALD  HJARNE
39,-78.60141512140586,NUMA DENIS FUSTEL DE COULANGES
40,-80.625,PAUL S BOYER
41,-75.0,WILL  JONES
42,-86.75099594734378,CARROLL  SMITH-ROSENBERG
43,-85.43926806768745,MARY FRANCES  BERRY
44,-75.0,JARED  SPARKS
45,-66.43291172153565,JOHN BACH MCMASTER
46,-71.62221566638449,FRED HARVEY HARRINGTON
